ID;PAÍS;QUANTIDADE (Kg) 2005;QUANTIDADE (Kg) 2006;QUANTIDADE (Kg) 2007;QUANTIDADE (Kg) 2008;QUANTIDADE (Kg) 2009;QUANTIDADE (Kg) 2010;QUANTIDADE (Kg) 2011;QUANTIDADE (Kg) 2012;QUANTIDADE (Kg) 2013;QUANTIDADE (Kg) 2014;QUANTIDADE (Kg) 2015;QUANTIDADE (Kg) 2016;QUANTIDADE (Kg) 2017;QUANTIDADE (Kg) 2018;QUANTIDADE (Kg) 2019;QUANTIDADE TOTAL (KG)
1;África do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;26
2;Alemanha;57393;38302;119512;265742;225086;27715;36070;8189;61699;213348;10680;14012;15467;10794;3660;1346693
3;Angola;24056;3766;25931;25721;54786;33557;13889;2833;1573;12182;1908;7359;10170;477;345;270415
4;Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Antígua e Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;37;219;256
6;Antilhas Holandesas;4259;19116;17025;17938;8235;9810;7335;9247;11281;4455;6660;16641;5400;0;0;171452
7;Argentina;0;0;0;0;162;0;13253;0;0;20385;0;0;0;15711;0;49511
8;Aruba;0;0;0;0;0;0;900;0;0;450;0;0;0;0;0;1350
9;Austrália;0;0;60;218726;1014;1823;3632;9345;16707;6308;7437;1954;1350;2055;1161;271692
10;Áustria;0;0;0;0;0;0;0;0;0;0;0;675;0;0;0;675
11;Bahamas;0;0;0;0;0;3175;4529;1374;581;0;0;0;0;141;791;10591
12;Barbados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;36
13;Barein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482;482
14;Bélgica;6750;56571;1077;3523;125962;42532;11802;16132;22461;151320;4473;7200;2790;7497;2498;464742
15;Belice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9
16;Benin;0;10350;0;10350;0;0;0;0;0;0;0;5040;0;0;9;25749
17;Bolívia;8306;5822;4985;3979;40463;54;12775;11868;19147;12534;10674;13586;9495;21566;0;185224
18;Bulgária;0;0;0;0;0;0;0;0;0;0;0;0;117;0;0;117
19;Cabo Verde;0;0;0;0;0;11991;600;0;0;0;0;0;0;18;0;12609
20;Camarões;0;0;0;0;0;0;0;0;0;0;0;0;1749;0;0;1749
21;Canadá;117;450;4172;20949;15664;0;28906;14304;25329;35082;24547;13711;6075;5308;1589;204547
22;Catar;0;0;0;0;0;0;0;0;0;0;0;0;13338;0;0;13338
23;Ilhas Cayman;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;38
24;Chile;0;1988;60930;0;1475;0;0;8550;0;0;0;0;0;11049;0;205852
25;China;0;0;7638;8689;1553416;795;54156;87905;40929;64040;47609;134106;67594;30835;129852;2242840
26;Chipre;0;134;0;0;0;0;0;0;0;0;0;0;0;279;672;1085
27;Cingapura;0;0;7270;1233;2419;1533;911;1212;766;541;1116;5445;0;3298;5044;45328
28;Colômbia;312;0;0;0;0;0;0;0;8;0;0;0;0;6944;897;8161
29;Congo;0;0;0;0;0;0;360;0;0;0;0;0;0;0;0;360
30;Coreia do Sul;0;0;1012;3520;0;0;0;0;0;0;0;8;0;120;70;6754
31;Costa do Marfim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
