ID;PAÍS;VALOR (US$) 2005;VALOR (US$) 2006;VALOR (US$) 2007;VALOR (US$) 2008;VALOR (US$) 2009;VALOR (US$) 2010;VALOR (US$) 2011;VALOR (US$) 2012;VALOR (US$) 2013;VALOR (US$) 2014;VALOR (US$) 2015;VALOR (US$) 2016;VALOR (US$) 2017;VALOR (US$) 2018;VALOR (US$) 2019;VALOR TOTAL (US$)
1;África do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;95
2;Alemanha;106702;89231;238052;429970;393482;138666;144150;56342;265978;761653;44780;68109;87702;45382;25467;2895666
3;Angola;33039;18293;49753;71083;84235;189891;69001;8861;9300;23124;17089;35390;61680;709;1065;672513
4;Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Antígua e Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;191;1549;1740
6;Antilhas Holandesas;6206;24419;17949;22908;10651;12808;10188;14081;19565;7169;10545;26450;8550;0;0;191489
7;Argentina;0;0;0;0;4523;0;55460;0;0;95130;0;0;0;59150;0;214263
8;Aruba;0;0;0;0;0;0;1680;0;0;755;0;0;0;0;0;2435
9;Austrália;0;0;281;99280;9195;17960;40704;56045;101715;43709;48011;13799;7500;6902;4682;449783
10;Áustria;0;0;0;0;0;0;0;0;0;0;0;5220;0;0;0;5220
11;Bahamas;0;0;0;0;0;12759;28810;12087;5145;0;0;0;0;634;3124;62559
12;Barbados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394;394
13;Barein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2144;2144
14;Bélgica;28743;52799;3751;12969;58764;185411;62339;90718;95893;704093;26399;46534;16405;52799;12548;1450165
15;Belice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;29
16;Benin;0;12075;0;17423;0;0;0;0;0;0;0;20333;0;0;9;49840
17;Bolívia;4452;6961;3550;3990;20729;282;20215;16804;25998;18303;12990;16902;23085;57424;0;231685
18;Bulgária;0;0;0;0;0;0;0;0;0;0;0;0;1579;0;0;1579
19;Cabo Verde;0;0;0;0;0;49366;825;0;0;0;0;0;0;48;0;50239
20;Camarões;0;0;0;0;0;0;0;0;0;0;0;0;7476;0;0;7476
21;Canadá;801;2202;18838;80476;73445;0;128076;146035;174643;226875;118394;71096;30658;20414;6933;1098886
22;Catar;0;0;0;0;0;0;0;0;0;0;0;0;81606;0;0;81606
