ID;PAÍS;QUANTIDADE (Kg) 2005;VALOR (US$) 2005;QUANTIDADE (Kg) 2006;VALOR (US$) 2006;QUANTIDADE (Kg) 2007;VALOR (US$) 2007;QUANTIDADE (Kg) 2008;VALOR (US$) 2008;QUANTIDADE (Kg) 2009;VALOR (US$) 2009;QUANTIDADE (Kg) 2010;VALOR (US$) 2010;QUANTIDADE (Kg) 2011;VALOR (US$) 2011;QUANTIDADE (Kg) 2012;VALOR (US$) 2012;QUANTIDADE (Kg) 2013;VALOR (US$) 2013;QUANTIDADE (Kg) 2014;VALOR (US$) 2014;QUANTIDADE (Kg) 2015;VALOR (US$) 2015;QUANTIDADE (Kg) 2016;VALOR (US$) 2016;QUANTIDADE (Kg) 2017;VALOR (US$) 2017;QUANTIDADE (Kg) 2018;VALOR (US$) 2018;QUANTIDADE (Kg) 2019;VALOR (US$) 2019
1;Africa do Sul;0;0;0;0;0;0;0;0;15300;32130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;30
2;Alemanha;889813;1081566;818198;1224605;2256707;5191457;1297991;2693071;759594;1475757;713942;1437429;1167243;2430345;1021075;2064845;2457655;5316776;1649514;3524291;3277187;6532957;2384112;5161080;3353831;6730502;2870420;5833592;1863097;3480290
3;Angola;76618;125958;0;0;0;0;33860;90396;29700;110058;0;0;0;0;350;2492;0;0;0;0;0;0;0;0;0;0;15;33;75;145
4;Antigua e Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;164;190;580
5;Arabia Saudita;0;0;0;0;0;0;47328;103666;0;0;0;0;15300;30600;0;0;0;0;0;0;61200;140760;0;0;0;0;14725;28615;167731;271231
6;Argelia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20672;30968;0;0
7;Argentina;299444;428773;336434;492057;475525;844050;724192;1474257;414008;929225;446280;1005124;264816;471205;170851;298692;32640;73440;0;0;0;0;1156368;2340897;2872152;5757072;1536650;2478547;1186878;1758528
8;Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Bahamas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25630;52046;2869;9184
10;Bahrein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Barbados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;59;110;354
12;Barein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;105;958;3353
13;Bélgica;41018;76420;707707;1074832;2251500;5389340;3163866;8111299;1507559;3229623;1777534;4258476;122727;271655;0;0;0;0;16848;21255;88832;219060;0;0;0;0;150493;281779;176918;336252
14;Belize;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;48
15;Bermudas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;69;228;1047
16;Bolivia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;96;0;0;0;0;0;0;0;0;0;0;10;97;0;0
17;Bosnia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;67
18;Brasil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;62
19;Burquina Faso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;37
20;Cabo Verde;50;91;0;0;86;69;10;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Canadá;406445;772043;778444;2111943;1516231;3993012;739519;2621657;688878;2324716;716985;1912515;834800;2251696;751591;2143723;725927;1858772;292980;761641;239200;582653;110752;287454;12983;74228;36798;171155;24565;220025
22;Catar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100;4932;81;298
